,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count,scorediff
28,28,"Monday, May 9",boxscore,NYY,,TEX,W,1.0,0.0,,20-8,1,up 3.0,Holmes,Martin,Chapman,2:41,D,34866,1.23,+,,20,49.0
29,29,"Tuesday, May 10",boxscore,NYY,,TOR,W,6.0,5.0,,21-8,1,up 4.0,Peralta,Romano,,3:39,N,41522,1.34,++,,21,50.0
30,30,"Wednesday, May 11",boxscore,NYY,,TOR,W,5.0,3.0,,22-8,1,up 4.0,Taillon,Berrios,Chapman,2:50,D,42105,1.33,+++,,22,52.0
31,31,"Thursday, May 12",boxscore,NYY,@,CHW,W,15.0,7.0,,23-8,1,up 4.5,Loaisiga,Kelly,,3:56,N,20050,1.19,++++,,23,60.0
32,32,"Friday, May 13",boxscore,NYY,@,CHW,W,10.0,4.0,,24-8,1,up 4.5,Cole,Velasquez,,3:21,N,28877,1.24,+++++,,24,66.0
33,33,"Saturday, May 14",boxscore,NYY,@,CHW,L,2.0,3.0,,24-9,1,up 4.5,Hendriks,Chapman,,3:27,N,32830,1.12,-,,24,65.0
34,34,"Sunday, May 15",boxscore,NYY,@,CHW,W,5.0,1.0,,25-9,1,up 4.5,Cortes,Kopech,,2:32,D,29500,1.16,+,,25,69.0
35,35,"Monday, May 16",boxscore,NYY,@,BAL,W,6.0,2.0,,26-9,1,up 5.5,Severino,Bradish,,2:59,N,12228,1.16,++,,26,73.0
36,36,"Tuesday, May 17",boxscore,NYY,@,BAL,W,5.0,4.0,,27-9,1,up 5.5,Taillon,Tate,Chapman,3:06,N,12635,1.06,+++,,27,74.0
37,37,"Wednesday, May 18",boxscore,NYY,@,BAL,W,3.0,2.0,,28-9,1,up 5.5,Cole,Lyles,Holmes,2:34,N,13850,1.06,++++,,28,75.0
38,38,"Thursday, May 19",boxscore,NYY,@,BAL,L,6.0,9.0,,28-10,1,up 5.0,Bautista,Luetge,,4:01,D,23819,1.00,-,,28,72.0
39,39,"Saturday, May 21",boxscore,NYY,,CHW,W,7.0,5.0,,29-10,1,up 5.5,Cortes,Keuchel,Holmes,3:40,D,44001,1.06,+,,29,74.0
40,40,"Sunday, May 22 (1)",boxscore,NYY,,CHW,L,1.0,3.0,,29-11,1,up 5.0,Graveman,Chapman,Hendriks,3:09,D,,1.04,-,,29,72.0
41,41,"Sunday, May 22 (2)",boxscore,NYY,,CHW,L,0.0,5.0,,29-12,1,up 5.0,Kopech,Loaisiga,,2:51,N,36167,1.05,--,,29,67.0
42,42,"Monday, May 23",boxscore,NYY,,BAL,L,4.0,6.0,,29-13,1,up 4.5,Lyles,Cole,Lopez,2:50,N,32187,1.13,---,,29,65.0
43,43,"Tuesday, May 24",boxscore,NYY,,BAL,W,7.0,6.0,11,30-13,1,up 4.5,Schmidt,Baker,,3:36,N,32289,1.18,+,,30,66.0
44,44,"Wednesday, May 25",boxscore,NYY,,BAL,W,2.0,0.0,,31-13,1,up 4.5,Sears,Wells,Holmes,3:07,N,39154,1.11,++,,31,68.0
45,45,"Thursday, May 26",boxscore,NYY,@,TBR,W,7.0,2.0,,32-13,1,up 5.5,Cortes,Yarbrough,,2:49,N,14610,1.26,+++,,32,73.0
46,46,"Friday, May 27",boxscore,NYY,@,TBR,W,2.0,0.0,,33-13,1,up 6.5,Taillon,Springs,Holmes,2:23,N,19018,1.26,++++,,33,75.0
47,47,"Saturday, May 28",boxscore,NYY,@,TBR,L,1.0,3.0,,33-14,1,up 5.5,Feyereisen,Luetge,Poche,2:47,D,25025,1.21,-,,33,73.0
48,48,"Sunday, May 29",boxscore,NYY,@,TBR,L,2.0,4.0,,33-15,1,up 4.5,McClanahan,Severino,Feyereisen,2:35,D,25025,1.23,--,,33,71.0
49,49,"Tuesday, May 31",boxscore,NYY,,LAA,W,9.0,1.0,,34-15,1,up 5.5,Montgomery,Syndergaard,,2:54,N,31242,1.09,+,,34,79.0
51,50,"Thursday, Jun 2 (1)",boxscore,NYY,,LAA,W,6.0,1.0,,35-15,1,up 5.5,Cortes,Ohtani,Peralta,3:07,D,30518,1.09,++,,35,84.0
52,51,"Thursday, Jun 2 (2)",boxscore,NYY,,LAA,W,2.0,1.0,,36-15,1,up 5.5,Taillon,Ortega,Holmes,3:08,N,33476,1.05,+++,,36,85.0
53,52,"Friday, Jun 3",boxscore,NYY,,DET,W,13.0,0.0,,37-15,1,up 6.0,Cole,Rodriguez,,2:39,N,42026,.94,++++,,37,98.0
54,53,"Saturday, Jun 4",boxscore,NYY,,DET,W,3.0,0.0,,38-15,1,up 6.5,Severino,Brieske,Holmes,2:28,D,38106,.93,+++++,,38,101.0
55,54,"Sunday, Jun 5",boxscore,NYY,,DET,W,5.0,4.0,10,39-15,1,up 7.5,King,Soto,,3:24,D,38030,.87,++++++,,39,102.0
56,55,"Tuesday, Jun 7",boxscore,NYY,@,MIN,W,10.0,4.0,,40-15,1,up 7.0,Luetge,Sands,,3:50,N,27643,.87,+++++++,,40,108.0
57,56,"Wednesday, Jun 8",boxscore,NYY,@,MIN,L,1.0,8.0,,40-16,1,up 7.0,Archer,Cortes,,3:00,N,22286,.84,-,,40,101.0
58,57,"Thursday, Jun 9",boxscore,NYY,@,MIN,W,10.0,7.0,,41-16,1,up 7.0,Castro,Duran,Holmes,3:32,N,26646,.88,+,,41,104.0
59,58,"Friday, Jun 10",boxscore,NYY,,CHC,W,2.0,1.0,13,42-16,1,up 7.5,Marinaccio,Mills,,4:16,N,43446,.78,++,,42,105.0
60,59,"Saturday, Jun 11",boxscore,NYY,,CHC,W,8.0,0.0,,43-16,1,up 8.5,Montgomery,Swarmer,,2:48,N,38043,.76,+++,,43,113.0
61,60,"Sunday, Jun 12",boxscore,NYY,,CHC,W,18.0,4.0,,44-16,1,up 8.5,Taillon,Thompson,Banuelos,3:23,D,39114,.68,++++,,44,127.0
