,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
94,99,Jul 22,SFG,ARI,"L,4-12",GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.474,.782,1.256,3,0.23,-0.017,.36,-0.02%,LF,42,5.904000000000002
95,100,Jul 23,SFG,COL,"L,2-8",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.290,.474,.778,1.252,3,0.55,-0.064,.61,-0.04%,LF,42,5.840000000000002
96,101,Jul 24,SFG,COL,"L,4-6",CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.290,.474,.777,1.251,3,0.69,0.03,.71,0.02%,LF,42,5.870000000000002
97,102,Jul 25,SFG,COL,"W,9-3",8-8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.473,.774,1.247,6,0.13,-0.003,.11,0.00%,PH,42,5.867000000000002
98,103,Jul 26,SFG,ARI,"W,11-3",GS-9,5,4,3,2,0,0,2,5,1,0,0,0,0,0,0,0,0,0,.292,.475,.790,1.265,3,1.03,0.404,1.21,0.28%,LF,44,6.271000000000002
99,104,Jul 27,SFG,ARI,"W,9-5",CG,5,3,2,3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,.299,.481,.805,1.286,3,0.67,0.2,.90,0.16%,LF,45,6.471000000000002
100,105,Jul 28,SFG,ARI,"W,11-4",GS-9,5,3,1,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,.302,.485,.810,1.295,3,0.53,0.128,.84,0.12%,LF,45,6.599000000000002
101,106,Jul 29,SFG,ARI,"W,4-3",CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.302,.483,.806,1.289,3,1.24,0.001,2.19,0.00%,LF,45,6.600000000000002
102,107,Jul 31,SFG,PIT,"W,8-7",CG(11),6,4,1,2,1,0,0,1,2,0,1,0,0,0,0,0,1,0,.304,.485,.806,1.291,3,1.68,0.148,2.61,0.14%,LF,45,6.748000000000002
104,108,Aug 1,SFG,PIT,"W,3-1",CG,4,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.307,.485,.814,1.299,3,0.37,0.096,.61,0.10%,LF,46,6.844000000000002
105,110 (1),Aug 3,SFG,PHI,"W,4-2",CG,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.305,.485,.809,1.295,3,0.8,0.032,1.67,0.04%,LF,46,6.876000000000002
106,111,Aug 4,SFG,PHI,"L,2-12",GS-8,3,2,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.306,.487,.817,1.303,3,0.74,0.057,1.51,0.07%,LF,47,6.9330000000000025
107,112,Aug 5,SFG,PHI,"W,8-4",CG,5,4,0,2,1,0,0,2,1,1,2,0,0,0,0,0,0,0,.308,.488,.816,1.304,3,0.7,0.099,1.43,0.12%,LF,47,7.032000000000003
108,113,Aug 7,SFG,CIN,"W,9-3",CG(11),6,5,1,3,1,0,1,3,1,0,0,0,0,0,0,0,0,1,.313,.490,.824,1.315,3,1.12,0.487,2.13,0.56%,LF,48,7.519000000000003
109,114,Aug 8,SFG,CIN,"L,9-11",CG,5,3,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,.310,.489,.817,1.306,3,1.08,0.009,2.10,0.01%,LF,48,7.528000000000003
110,115,Aug 9,SFG,CIN,"W,6-4",CG,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.308,.486,.817,1.303,3,0.73,0.03,1.39,0.03%,LF,49,7.558000000000003
111,117 (1),Aug 11,SFG,CHC,"W,9-4",CG,5,4,1,1,0,0,1,3,1,0,2,0,0,0,0,0,0,0,.307,.485,.819,1.304,3,0.47,0.11,1.00,0.14%,LF,50,7.668000000000004
112,118,Aug 12,SFG,CHC,"W,7-6",CG,5,4,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.307,.484,.815,1.300,3,0.51,0.001,1.17,0.00%,LF,50,7.669000000000004
113,119,Aug 14,SFG,FLA,"W,13-7",GS-8,5,2,2,1,0,0,1,4,3,1,0,0,0,0,0,0,0,0,.308,.488,.822,1.310,3,0.74,0.081,1.57,0.10%,LF,51,7.750000000000004
