,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count
99,"Monday, Jul 23",SEA,@,MIN,W,3.0,2.0,9.0,72-27,1.0,up19.0,Moyer,Radke,Sasaki,2:56,D,31220.0,.00,4,,72
100,"Tuesday, Jul 24",SEA,Home,KCR,L,1.0,6.0,9.0,72-28,1.0,up18.0,Wilson,Garcia,None,2:39,N,45119.0,.00,-1,,72
101,"Wednesday, Jul 25",SEA,Home,KCR,L,1.0,5.0,9.0,72-29,1.0,up18.0,Byrd,Sele,None,2:29,N,45265.0,.00,-2,,72
102,"Thursday, Jul 26",SEA,Home,KCR,W,4.0,0.0,9.0,73-29,1.0,up19.0,Pineiro,George,None,2:36,N,44519.0,.00,1,,73
103,"Friday, Jul 27",SEA,Home,MIN,W,11.0,4.0,9.0,74-29,1.0,up19.0,Abbott,Lohse,None,2:43,N,45808.0,.00,2,,74
104,"Saturday, Jul 28",SEA,Home,MIN,W,5.0,1.0,9.0,75-29,1.0,up20.0,Moyer,Radke,None,2:39,D,45681.0,.00,3,,75
105,"Sunday, Jul 29",SEA,Home,MIN,W,10.0,2.0,9.0,76-29,1.0,up20.0,Garcia,Milton,None,2:47,D,45780.0,.00,4,,76
106,"Tuesday, Jul 31",SEA,@,DET,L,2.0,4.0,9.0,76-30,1.0,up19.0,Lima,Sele,Anderson,2:24,N,30022.0,.00,-1,,76
107,"Wednesday, Aug 1",SEA,@,DET,W,7.0,1.0,9.0,77-30,1.0,up20.0,Abbott,Holt,None,3:01,N,23847.0,.00,1,,77
108,"Thursday, Aug 2",SEA,@,DET,W,2.0,1.0,9.0,78-30,1.0,up20.0,Pineiro,Pettyjohn,Sasaki,2:23,N,27097.0,.00,2,,78
109,"Friday, Aug 3",SEA,@,CLE,W,2.0,1.0,9.0,79-30,1.0,up20.0,Moyer,Colon,Sasaki,2:36,N,42580.0,.00,3,,79
110,"Saturday, Aug 4",SEA,@,CLE,W,8.0,5.0,9.0,80-30,1.0,up20.0,Garcia,Báez,Rhodes,3:48,D,42440.0,.00,4,,80
111,"Sunday, Aug 5",SEA,@,CLE,L,14.0,15.0,11.0,80-31,1.0,up19.0,Rocker,Paniagua,None,4:11,N,42494.0,.00,-1,,80
