,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count
19,19,May 4,NYY,WSH,"L,4-7",CG,5,4,1,1,0,0,0,1,1,0,1,0,0,,0,,0,0,.324,.477,.603,1.080,3,.98,-0.003,3.89,-0.01%,RF,6
20,20,May 5,NYY,WSH,"L,1-6",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,,0,,0,0,.324,.478,.592,1.070,3,1.18,0.057,4.67,0.14%,RF,6
21,21,May 7,NYY,CHW,"W,8-0",CG,5,4,2,1,0,0,0,0,1,0,1,0,0,,0,,0,0,.320,.474,.573,1.048,3,.69,0.033,2.76,0.08%,LF,6
22,22,May 8,NYY,CHW,"W,9-0",CG,5,4,0,2,1,0,0,0,1,0,0,0,0,,0,,0,1,.329,.480,.582,1.063,3,.43,0.021,1.83,0.05%,LF,6
23,23,May 9,NYY,CHW,"L,1-2",CG(10),4,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,.317,.472,.561,1.033,3,1.04,0.002,4.71,0.01%,LF,6
24,24,May 10,NYY,SLB,"W,8-7",CG,5,4,1,1,0,0,1,3,1,0,0,0,0,,0,,0,0,.314,.468,.581,1.050,3,2.11,0.131,8.87,0.33%,LF,7
25,25,May 11,NYY,SLB,"W,4-2",CG,4,4,2,2,1,0,1,2,0,0,1,0,0,,0,,0,0,.322,.470,.622,1.092,3,.82,0.153,3.63,0.41%,LF,8
26,26,May 12,NYY,SLB,"W,4-3",CG,4,4,1,2,1,0,0,1,0,0,1,0,0,,0,,0,0,.330,.471,.628,1.098,3,.80,0.108,3.68,0.30%,LF,8
27,27,May 13,NYY,SLB,"W,3-1",CG,5,2,1,0,0,0,0,0,3,0,1,0,0,,0,,0,0,.323,.476,.615,1.090,3,.87,0.024,4.13,0.07%,LF,8
28,28,May 16,NYY,DET,"W,6-2",CG,5,3,0,1,0,0,0,3,1,0,0,0,0,,0,,0,0,.323,.477,.606,1.083,3,1.38,0.045,7.08,0.14%,LF,8
29,29,May 17,NYY,DET,"W,9-2",CG,6,4,1,1,0,0,1,1,1,0,1,0,0,,0,,0,0,.320,.474,.621,1.095,3,1.09,-0.086,5.74,-0.27%,LF,9
30,30,May 19,NYY,CLE,"W,4-3",CG,4,2,0,0,0,0,0,0,2,0,0,0,0,,0,,0,0,.314,.474,.610,1.084,3,1.05,0.035,5.39,0.11%,RF,9
31,31,May 20,NYY,CLE,"L,1-2",CG,4,2,1,1,0,0,0,0,2,0,0,0,0,,0,,0,0,.318,.482,.607,1.090,3,1.67,0.152,8.79,0.48%,RF,9
32,32,May 21,NYY,CLE,"L,4-5",CG(12),6,5,2,2,1,0,0,0,1,0,0,0,0,,0,,0,0,.321,.483,.607,1.090,3,1.31,-0.017,6.71,-0.05%,RF,9
33,33,May 22,NYY,CLE,"W,7-2",CG,5,2,2,1,0,0,1,2,3,0,0,0,0,,0,,0,0,.325,.493,.632,1.125,3,.60,0.074,3.13,0.23%,RF,10
34,34,May 23,NYY,WSH,"L,2-3",CG,4,4,1,2,1,0,1,1,0,0,1,0,0,,0,,0,0,.331,.494,.661,1.155,3,.97,0.117,5.22,0.38%,RF,11
