,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count,scorediff
108,"Sunday, Aug 6 (1)",NYY,Home,MIN,W,7.0,6.0,15.0,70-37,1.0,up 2.5,Reniff,Moore,None,4:16,D,,5.93,3,,70,141.0
109,"Sunday, Aug 6 (2)",NYY,Home,MIN,W,3.0,2.0,9.0,71-37,1.0,up 2.5,Sheldon,Schroll,None,2:26,D,39408.0,5.71,4,,71,142.0
110,"Monday, Aug 7",NYY,Home,LAA,W,4.0,1.0,9.0,72-37,1.0,up 3.0,Daley,McBride,None,2:29,N,13944.0,5.65,5,1961-04-18 (Rain),72,145.0
111,"Tuesday, Aug 8",NYY,Home,LAA,W,5.0,4.0,10.0,73-37,1.0,up 3.0,Arroyo,Fowler,None,3:00,N,24084.0,5.43,6,,73,146.0
112,"Wednesday, Aug 9",NYY,Home,LAA,W,2.0,0.0,9.0,74-37,1.0,up 3.0,Coates,Bowsfield,None,1:59,D,17261.0,5.56,7,,74,148.0
113,"Thursday, Aug 10",NYY,Home,LAA,W,3.0,1.0,9.0,75-37,1.0,up 3.0,Ford,Donohue,Arroyo,2:10,D,15575.0,5.32,8,,75,150.0
114,"Friday, Aug 11",NYY,@,WSA,W,12.0,5.0,9.0,76-37,1.0,up 4.0,Terry,McClain,Reniff,2:47,N,22601.0,5.46,9,,76,157.0
115,"Saturday, Aug 12",NYY,@,WSA,L,1.0,5.0,9.0,76-38,1.0,up 3.0,Donovan,Stafford,None,2:18,D,15870.0,4.95,-1,,76,153.0
116,"Sunday, Aug 13 (1)",NYY,@,WSA,L,2.0,12.0,9.0,76-39,1.0,up 3.5,Daniels,Daley,None,2:31,D,,5.54,-2,1961-05-01 (Rain),76,143.0
117,"Sunday, Aug 13 (2)",NYY,@,WSA,W,9.0,4.0,9.0,77-39,1.0,up 3.5,Coates,Kutyna,None,2:16,D,27368.0,5.89,1,,77,148.0
118,"Tuesday, Aug 15",NYY,Home,CHW,L,1.0,2.0,9.0,77-40,1.0,up 2.0,Pizarro,Ford,None,2:25,N,49059.0,5.17,-1,,77,147.0
119,"Wednesday, Aug 16",NYY,Home,CHW,W,5.0,4.0,9.0,78-40,1.0,up 3.0,Terry,Lown,None,2:24,D,29728.0,6.51,1,,78,148.0
120,"Thursday, Aug 17",NYY,Home,CHW,W,5.0,3.0,9.0,79-40,1.0,up 4.0,Stafford,Baumann,Arroyo,2:36,D,25532.0,5.93,2,,79,150.0
121,"Friday, Aug 18",NYY,@,CLE,L,1.0,5.0,9.0,79-41,1.0,up 3.0,Grant,Coates,None,2:16,N,37840.0,5.14,-1,,79,146.0
122,"Saturday, Aug 19",NYY,@,CLE,W,3.0,2.0,10.0,80-41,1.0,up 3.0,Ford,Locke,Arroyo,2:50,D,23398.0,5.59,1,,80,147.0
123,"Sunday, Aug 20 (1)",NYY,@,CLE,W,6.0,0.0,9.0,81-41,1.0,up 3.0,Terry,Perry,None,2:11,D,,5.62,2,,81,153.0
124,"Sunday, Aug 20 (2)",NYY,@,CLE,W,5.0,2.0,9.0,82-41,1.0,up 3.0,Sheldon,Bell,None,2:41,D,56307.0,5.35,3,,82,156.0
125,"Tuesday, Aug 22",NYY,@,LAA,L,3.0,4.0,9.0,82-42,1.0,up 2.0,McBride,Stafford,None,2:29,N,19930.0,5.59,-1,,82,155.0
126,"Wednesday, Aug 23",NYY,@,LAA,W,8.0,6.0,10.0,83-42,1.0,up 3.0,Arroyo,Donohue,None,3:43,N,19773.0,6.45,1,,83,157.0
127,"Thursday, Aug 24",NYY,@,LAA,L,4.0,6.0,9.0,83-43,1.0,up 2.0,Morgan,Coates,None,2:37,N,19819.0,5.75,-1,,83,155.0
128,"Friday, Aug 25",NYY,@,KCA,W,3.0,0.0,9.0,84-43,1.0,up 2.0,Terry,Archer,None,2:00,N,30830.0,6.63,1,,84,158.0
129,"Saturday, Aug 26",NYY,@,KCA,W,5.0,1.0,9.0,85-43,1.0,up 2.5,Stafford,Walker,None,2:18,D,32149.0,6.48,2,,85,162.0
130,"Sunday, Aug 27",NYY,@,KCA,W,8.0,7.0,9.0,86-43,1.0,up 2.0,Ford,Shaw,Arroyo,2:34,D,34065.0,5.84,3,,86,163.0
131,"Tuesday, Aug 29",NYY,@,MIN,L,0.0,3.0,9.0,86-44,1.0,up 1.5,Pascual,Terry,None,2:17,N,40118.0,7.06,-1,,86,160.0
132,"Wednesday, Aug 30",NYY,@,MIN,W,4.0,0.0,9.0,87-44,1.0,up 2.5,Stafford,Kaat,None,2:18,N,41357.0,6.98,1,,87,164.0
133,"Thursday, Aug 31",NYY,@,MIN,L,4.0,5.0,9.0,87-45,1.0,up 1.5,Kralick,Sheldon,None,2:57,D,33709.0,6.32,-1,,87,163.0
134,"Friday, Sep 1",NYY,Home,DET,W,1.0,0.0,9.0,88-45,1.0,up 2.5,Arroyo,Mossi,None,2:44,N,65566.0,14.17,1,,88,164.0
135,"Saturday, Sep 2",NYY,Home,DET,W,7.0,2.0,9.0,89-45,1.0,up 3.5,Terry,Lary,Arroyo,2:02,D,50261.0,12.97,2,,89,169.0
136,"Sunday, Sep 3",NYY,Home,DET,W,8.0,5.0,9.0,90-45,1.0,up 4.5,Arroyo,Staley,None,2:42,D,55676.0,10.66,3,,90,172.0
137,"Monday, Sep 4 (1)",NYY,Home,WSA,W,5.0,3.0,9.0,91-45,1.0,up 6.5,Reniff,Daniels,None,2:13,D,,4.11,4,,91,174.0
138,"Monday, Sep 4 (2)",NYY,Home,WSA,W,3.0,2.0,9.0,92-45,1.0,up 6.5,Daley,Burnside,None,2:21,D,34683.0,3.55,5,,92,175.0
139,"Tuesday, Sep 5",NYY,Home,WSA,W,6.0,1.0,9.0,93-45,1.0,up 7.5,Coates,McClain,None,2:05,N,16917.0,1.86,6,,93,180.0
140,"Wednesday, Sep 6",NYY,Home,WSA,W,8.0,0.0,9.0,94-45,1.0,up 8.0,Ford,Cheney,None,2:11,D,12295.0,1.11,7,,94,188.0
141,"Thursday, Sep 7",NYY,Home,CLE,W,7.0,3.0,9.0,95-45,1.0,up 9.0,Terry,Stigman,None,2:00,N,18549.0,.81,8,1961-04-28 (Rain),95,192.0
142,"Friday, Sep 8",NYY,Home,CLE,W,9.0,1.0,9.0,96-45,1.0,up10.0,Stafford,Bell,None,2:29,N,41762.0,.40,9,,96,200.0
143,"Saturday, Sep 9",NYY,Home,CLE,W,8.0,7.0,9.0,97-45,1.0,up10.0,Arroyo,Funk,None,2:41,D,37161.0,.14,10,,97,201.0
144,"Sunday, Sep 10 (1)",NYY,Home,CLE,W,7.0,6.0,9.0,98-45,1.0,up11.5,Coates,Locke,Arroyo,2:59,D,,.13,11,,98,202.0
145,"Sunday, Sep 10 (2)",NYY,Home,CLE,W,9.0,3.0,9.0,99-45,1.0,up11.5,Daley,Perry,None,2:20,D,57824.0,.10,12,,99,208.0
146,"Tuesday, Sep 12",NYY,@,CHW,W,4.0,3.0,6.0,100-45,1.0,up11.5,Terry,Pierce,None,1:37,N,36166.0,.03,13,,100,209.0
147,"Thursday, Sep 14 (1)",NYY,@,CHW,L,3.0,8.0,9.0,100-46,1.0,up10.5,Herbert,Sheldon,Hacker,2:47,D,,.02,-1,1961-09-13 (Rain),100,204.0
148,"Thursday, Sep 14 (2)",NYY,@,CHW,L,3.0,4.0,9.0,100-47,1.0,up10.5,Kemmerer,Arroyo,None,2:51,D,18120.0,.03,-2,,100,203.0
149,"Friday, Sep 15 (1)",NYY,@,DET,W,11.0,1.0,9.0,101-47,1.0,up10.5,Ford,Mossi,None,2:47,D,,.06,1,1961-04-25 (Rain),101,213.0
150,"Friday, Sep 15 (2)",NYY,@,DET,L,2.0,4.0,9.0,101-48,1.0,up10.5,Kline,Daley,None,2:32,N,42267.0,.00,-1,,101,211.0
151,"Saturday, Sep 16",NYY,@,DET,L,4.0,10.0,9.0,101-49,1.0,up 9.5,Lary,Terry,None,2:32,D,35820.0,.00,-2,,101,205.0
152,"Sunday, Sep 17",NYY,@,DET,W,6.0,4.0,12.0,102-49,1.0,up10.5,Arroyo,Fox,None,3:46,D,44219.0,.01,1,,102,207.0
153,"Tuesday, Sep 19 (1)",NYY,@,BAL,L,0.0,1.0,9.0,102-50,1.0,up10.0,Barber,Ford,None,2:27,D,,.00,-1,,102,206.0
154,"Tuesday, Sep 19 (2)",NYY,@,BAL,W,3.0,1.0,9.0,103-50,1.0,up10.0,Daley,Brown,None,2:08,N,31317.0,.00,1,,103,208.0
155,"Wednesday, Sep 20",NYY,@,BAL,W,4.0,2.0,9.0,104-50,1.0,up10.0,Terry,Pappas,None,2:00,N,21032.0,.00,2,,104,210.0
156,"Thursday, Sep 21",NYY,@,BAL,L,3.0,5.0,9.0,104-51,1.0,up 9.5,Fisher,Stafford,None,2:04,N,22089.0,.00,-1,,104,208.0
157,"Saturday, Sep 23",NYY,@,BOS,W,8.0,3.0,9.0,105-51,1.0,up 9.0,Ford,Schwall,Arroyo,2:30,D,28128.0,.00,1,,105,213.0
158,"Sunday, Sep 24",NYY,@,BOS,L,1.0,3.0,9.0,105-52,1.0,up 8.0,Monbouquette,Arroyo,None,2:14,D,30802.0,.00,-1,,105,211.0
159,"Tuesday, Sep 26",NYY,Home,BAL,W,3.0,2.0,9.0,106-52,1.0,up 9.0,Sheldon,Fisher,None,2:13,N,19401.0,.00,1,,106,212.0
160,"Wednesday, Sep 27",NYY,Home,BAL,L,2.0,3.0,9.0,106-53,1.0,up 8.0,Barber,Stafford,Hall,2:07,D,7594.0,.00,-1,,106,211.0
161,"Friday, Sep 29",NYY,Home,BOS,W,2.0,1.0,9.0,107-53,1.0,up 8.0,Sheldon,Monbouquette,None,2:07,N,21485.0,.00,1,,107,212.0
162,"Saturday, Sep 30",NYY,Home,BOS,W,3.0,1.0,9.0,108-53,1.0,up 8.0,Terry,Schwall,Coates,2:15,D,19061.0,.00,2,,108,214.0
163,"Sunday, Oct 1",NYY,Home,BOS,W,1.0,0.0,9.0,109-53,1.0,up 8.0,Stafford,Stallard,Arroyo,1:57,D,23154.0,.00,3,,109,215.0
