,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
63,62,Jun 18,NYY,DET,"W,9-0",CG,5,4,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.242,.343,.578,.922,3,0.38,0.042,2.22,0.15%,RF,24,1.0530000000000002
64,63,Jun 19,NYY,KCA,"L,3-4",CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.243,.346,.588,.934,3,1.3,0.315,5.89,0.86%,RF,25,1.368
65,64,Jun 20,NYY,KCA,"W,6-2",CG,5,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.242,.343,.593,.936,3,0.6,0.041,2.61,0.11%,RF,26,1.409
66,65,Jun 21,NYY,KCA,"W,5-3",CG,5,4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,.247,.348,.600,.948,3,0.63,0.132,2.73,0.35%,RF,26,1.541
67,66,Jun 22,NYY,KCA,"W,8-3",CG,5,5,2,4,2,0,1,4,0,0,0,0,0,0,0,0,0,0,.258,.356,.625,.981,3,0.62,0.264,2.93,0.75%,RF,27,1.805
68,67,Jun 23,NYY,MIN,"L,0-4",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.254,.351,.615,.965,3,0.76,-0.078,3.75,-0.23%,RF,27,1.7269999999999999
69,68,Jun 24,NYY,MIN,"W,10-7",CG,5,2,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,.256,.358,.618,.976,3,0.56,0.169,2.67,0.49%,RF,27,1.896
70,69,Jun 25,NYY,MIN,"W,8-4",CG,5,3,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,.257,.362,.618,.981,3,0.83,0.182,3.91,0.52%,RF,27,2.078
71,70,Jun 26,NYY,LAA,"W,8-6",CG,5,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.258,.366,.615,.981,3,1.59,0.127,7.61,0.36%,RF,27,2.205
72,71,Jun 27,NYY,LAA,"L,6-7",CG,5,5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.257,.364,.607,.971,3,1.31,0.004,6.76,0.01%,RF,27,2.209
73,72,Jun 28,NYY,LAA,"L,3-5",CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.255,.365,.602,.968,3,0.76,0.0,3.78,0.00%,RF,27,2.209
74,73,Jun 30,NYY,WSA,"W,5-1",CG,4,3,1,2,1,0,0,3,1,0,1,0,0,0,0,0,0,0,.260,.370,.607,.977,3,1.3,0.209,6.70,0.65%,RF,27,2.418
